Gmt time,Open,High,Low,Close,Volume
02.01.2022 22:00:00.000,1.13690,1.13727,1.13649,1.13700,708599999.7256999
02.01.2022 22:30:00.000,1.13700,1.13741,1.13700,1.13729,400688403.9045999
02.01.2022 23:00:00.000,1.13721,1.13782,1.13696,1.13733,1342390007.0193996
02.01.2022 23:30:00.000,1.13733,1.13742,1.13692,1.13727,364689999.2826
03.01.2022 00:00:00.000,1.13726,1.13755,1.13664,1.13664,481859999.65700006
03.01.2022 00:30:00.000,1.13663,1.13668,1.13608,1.13618,628159998.8937
03.01.2022 01:00:00.000,1.13619,1.13651,1.13599,1.13613,583640003.6812999
03.01.2022 01:30:00.000,1.13614,1.13616,1.13498,1.13584,1045800009.7272999
03.01.2022 02:00:00.000,1.13584,1.13585,1.13480,1.13494,784919994.3542999
03.01.2022 02:30:00.000,1.13491,1.13496,1.13423,1.13425,490500004.29129994
03.01.2022 03:00:00.000,1.13428,1.13467,1.13421,1.13438,352999999.5229
03.01.2022 03:30:00.000,1.13439,1.13500,1.13412,1.13481,447040000.91549987
03.01.2022 04:00:00.000,1.13482,1.13489,1.13430,1.13484,330709999.08449996
03.01.2022 04:30:00.000,1.13481,1.13481,1.13385,1.13403,406909999.4901
03.01.2022 05:00:00.000,1.13404,1.13411,1.13364,1.13366,279380000.2339
03.01.2022 05:30:00.000,1.13365,1.13407,1.13359,1.13378,343409999.3705999
03.01.2022 06:00:00.000,1.13378,1.13426,1.13377,1.13411,412750001.9071999
03.01.2022 06:30:00.000,1.13408,1.13462,1.13408,1.13429,381969998.0022
03.01.2022 07:00:00.000,1.13430,1.13460,1.13362,1.13363,977369997.0245997
03.01.2022 07:30:00.000,1.13364,1.13500,1.13349,1.13480,1272969993.5912
03.01.2022 08:00:00.000,1.13479,1.13479,1.13352,1.13370,2236630001.0681
03.01.2022 08:30:00.000,1.13369,1.13470,1.13354,1.13465,1389590011.5967
03.01.2022 09:00:00.000,1.13465,1.13563,1.13385,1.13389,1569600007.0572999
03.01.2022 09:30:00.000,1.13387,1.13554,1.13356,1.13516,2443919992.4467998
03.01.2022 10:00:00.000,1.13516,1.13596,1.13506,1.13554,2316019977.5692
03.01.2022 10:30:00.000,1.13552,1.13591,1.13506,1.13551,2408380006.7900004
03.01.2022 11:00:00.000,1.13552,1.13661,1.13514,1.13604,2338149995.8037004
03.01.2022 11:30:00.000,1.13606,1.13620,1.13518,1.13554,2398589998.2452
03.01.2022 12:00:00.000,1.13554,1.13562,1.13493,1.13534,2200800006.8664002
03.01.2022 12:30:00.000,1.13532,1.13594,1.13465,1.13586,2492789989.4716
03.01.2022 13:00:00.000,1.13588,1.13633,1.13497,1.13629,2739049991.6077
03.01.2022 13:30:00.000,1.13628,1.13641,1.13458,1.13506,5513959953.3078
03.01.2022 14:00:00.000,1.13507,1.13517,1.13250,1.13262,5222579998.0164
03.01.2022 14:30:00.000,1.13261,1.13291,1.12997,1.13061,4550070007.324
03.01.2022 15:00:00.000,1.13064,1.13093,1.12919,1.12958,5225260002.136001
03.01.2022 15:30:00.000,1.12956,1.13011,1.12902,1.12915,4636269989.013599
03.01.2022 16:00:00.000,1.12916,1.12988,1.12888,1.12926,3099839988.7085
03.01.2022 16:30:00.000,1.12924,1.12955,1.12828,1.12888,3174449993.1336
03.01.2022 17:00:00.000,1.12888,1.12899,1.12797,1.12817,2120120011.3296
03.01.2022 17:30:00.000,1.12814,1.12867,1.12797,1.12837,1108349998.4737
03.01.2022 18:00:00.000,1.12837,1.12919,1.12833,1.12906,1580889995.5749002
03.01.2022 18:30:00.000,1.12907,1.12969,1.12905,1.12948,1124340004.921
03.01.2022 19:00:00.000,1.12948,1.12986,1.12936,1.12979,1376700001.7165
03.01.2022 19:30:00.000,1.12981,1.12995,1.12949,1.12971,2350040006.6376
03.01.2022 20:00:00.000,1.12970,1.12990,1.12958,1.12966,2488049998.2832007
03.01.2022 20:30:00.000,1.12964,1.13003,1.12937,1.12963,1695694995.88
03.01.2022 21:00:00.000,1.12963,1.12972,1.12943,1.12970,547945001.0059999
03.01.2022 21:30:00.000,1.12973,1.12992,1.12965,1.12965,260819999.2181
03.01.2022 22:00:00.000,1.12965,1.12982,1.12929,1.12948,993500001.9073
03.01.2022 22:30:00.000,1.12948,1.12963,1.12945,1.12945,1275469998.5982995
03.01.2022 23:00:00.000,1.12948,1.12995,1.12946,1.12994,740889995.9324
03.01.2022 23:30:00.000,1.12993,1.13022,1.12954,1.13017,943050001.3829998
04.01.2022 00:00:00.000,1.13016,1.13068,1.13012,1.13041,1116940008.1636999
04.01.2022 00:30:00.000,1.13042,1.13062,1.13038,1.13056,507579999.9236999
04.01.2022 01:00:00.000,1.13056,1.13087,1.13051,1.13061,658149999.6185001
04.01.2022 01:30:00.000,1.13061,1.13070,1.13013,1.13066,894139997.0054998
04.01.2022 02:00:00.000,1.13065,1.13080,1.13045,1.13067,544410004.6159
04.01.2022 02:30:00.000,1.13067,1.13094,1.12997,1.13021,1012149990.3201001
